学号,路径,路程/km,高铁|火车,时间/h,没买到想买的票,可支配收入/RMB,自付|家庭报销,票价/RMB,注重舒适程度,注重时间成本
9171XXXX0422,,838,,4.9,0,1500,0,369,1,1
9171XXXX0117,,597,,3.75,0,1200,0,269.5,0,1
9171XXXX0214,,1191,,16.18,0,700,1,148.5,0,0
9171XXXX0428,,633,,4.83,0,2000,0,225,1,0
9171XXXX0526,,918,,4.1,0,1500,0,403,0,1
9171XXXX0410,,636,,12.25,0,1800,1,124,0,0
9171XXXX0350,,276,,5.98,0,1500,1,69,1,1
9171XXXX0323,,585,,5.02,0,1200,0,369,1,1
9171XXXX0305,,1885,,24.5,0,1500,0,363,1,1
9171XXXX0439,,1435,,7.63,0,1500,0,592,1,1
9171XXXX0147,,1589,,8.25,0,2000,0,623.5,1,1
9171XXXX0304,,411,,2.5,0,1200,0,188.5,1,1
9171XXXX0142,,331,,1.55,0,1800,1,149.5,1,1
9161XXXX0316,,1500,,7.5,0,2000,0,675,1,1
9171XXXX0448,,165,,0.83,0,1000,1,76,0,1
9171XXXX0243,,1957,,10.47,0,1500,0,788.5,1,1
9171XXXX0428,,365,,2.1,0,1500,1,167.5,0,1
9171XXXX0444,,1447,,19.78,0,2500,1,117.5,1,0
9171XXXX0147,,1589,,8.25,0,2000,0,623.5,1,1
9171XXXX0143,,170,,2,0,1500,1,82,1,0
9171XXXX0116,,2029,,10.1,0,1000,0,892,1,1
9171XXXX0429,,1885,,20,0,1500,0,213,1,1
9171XXXX0348,,2206,,27.83,0,2000,0,411,1,1
9171XXXX0222,,558,,3,0,4000,0,254,0,1
9171XXXX0326,,2614,,10.5,0,2000,0,895.5,1,1
9171XXXX0310,,585,,9,0,1000,0,210,0,1
9171XXXX0330,,411,,2.5,0,1500,1,188.9,0,1
9171XXXX0103,,1802,,10.93,0,1500,0,760.5,1,1
9171XXXX0111,,2540,,14,0,1500,1,870,1,1
9161XXXX0211,,538,,9.5,0,1000,1,75,0,1
9171XXXX0103,,1802,,10.93,0,1500,0,760.5,1,1
9171XXXX0111,,2540,,14,0,1500,1,870,1,1
9171XXXX0121,,2540,,30,0,1500,0,300,1,0
9171XXXX0125,,1208,,12,0,1500,1,400,1,1
9171XXXX0316,,915,,5,0,2500,1,388,1,1
9171XXXX0123,,918,,3.65,0,1300,0,393.5,1,1
9171XXXX0416,,965,,12.58,0,1000,1,124,1,1
9171XXXX0333,,1162,,4,0,1800,1,443.5,1,1
9171XXXX0105,,1581,,7.18,0,1500,1,660,1,1
9171XXXX0316,,1441,,8.58,0,2000,0,470,1,1
9171XXXX0141,,2540,,2,0,1000,0,135,0,1
9171XXXX0203,,368,,2.68,0,1500,0,164.5,1,1
9171XXXX0407,,813,,3.67,0,800,0,359,0,1
9171XXXX0215,,1728,,9.78,0,1000,1,470,0,1
9181XXXX1000,,256,,1.58,0,2200,0,117.5,1,1
9171XXXX0114,,276,,1.58,0,2500,0,117.5,1,1
9171XXXX0218,,894.7,,3.7,0,2000,0,393.5,1,1
9171XXXX0426,,698,,4.58,0,1700,0,335.5,0,1
9171XXXX0301,,1042,,6.53,0,400,0,445.5,1,1
9171XXXX0129,,1357,,6.75,0,2000,0,584,1,1
9171XXXX0110,,1147,,7.15,0,1500,0,375,1,1
9171XXXX0211,,516,,3.5,0,1500,0,187.5,1,1
9171XXXX0403,,1381,,7,0,2500,1,591,1,1
9171XXXX0309,,915,,5.1,0,1200,1,645,0,1
9171XXXX0121,,2683,,14,0,1500,1,500,1,1
9171XXXX0308,,1581,,7.5,0,1500,0,660,1,1
9171XXXX0430,,284,,2.55,0,2500,0,105,1,1
9171XXXX0223,,1214,,5,0,1700,1,410,1,1
9171XXXX0502,,256,,1.58,0,2000,0,117.5,1,1
9171XXXX0108,,1286,,14.5,0,1000,1,400,1,1
9181XXXX0620,,720,,4.75,0,2000,0,226,0,1
9181XXXX0809,,136,,0.65,0,1500,1,40,0,1
9181XXXX0104,,1100,,6,0,1000,0,405,1,0
9181XXXX1023,,1898,,9,0,1500,0,706,1,1
9181XXXX0513,,780,,5,0,1500,0,445,1,1
9181XXXX0206,,301,,2,0,2000,0,229.5,1,1
9181XXXX0114,,380,,10,0,200,0,100,1,0
9181XXXX0415,,83,,7.92,0,2000,1,29.9,1,1
9181XXXX1002,,667,,3,0,1000,0,279,1,1
9181XXXX0220,,697,,7.2,0,1500,1,317.5,0,0
9181XXXX0127,,1803,,7.67,0,1000,0,495,1,1
9181XXXX0707,,1014,,18.5,0,2000,0,300,1,0
9181XXXX0116,,998,,4.5,0,1500,0,317,1,1
9181XXXX0216,,893.7,,4.93,0,1800,1,421.5,1,1
9181XXXX0326,,780,,5,0,1500,0,445,1,1
9181XXXX0127,,136,,1,0,1500,1,56,0,0
9181XXXX0439,,1361,,8.33,0,2000,0,700,1,1
9181XXXX0632,,709,,5,0,2000,1,200,1,1
9181XXXX0113,,1162,,9.3,0,1500,0,196,1,1
9181XXXX0118,,2000,,8.51,0,1500,1,660,1,1
9181XXXX0503,,1852,,11,0,1500,0,508,1,1
9171XXXX0230,,2045,,22.4,0,400,0,375.5,0,0
9171XXXX0210,,185,,1.25,0,1500,0,81.5,1,1
9171XXXX0104,,1208,,12,0,1500,1,298,0,1
9171XXXX0213,,136,,0.63,0,2000,1,64.5,1,1
